TIME,LX,LY,RX,RY
555174538,418.75,487.25,415.35,496.23
555176555,412.74,487.5,413.76,484.35
555178542,408.9,488.45,419.93,505.41
555180543,417.12,493.7,419.21,497
555182544,420.38,485.32,417.84,499.52
555184545,419.49,488.29,412.92,495.2
555186544,416.29,490.69,417.18,500.36
555188544,425.07,487.69,421.42,496.52
555190546,412.82,485.26,412.95,492.04
555192545,418.52,479.7,411.87,492.99
555194544,412.66,489.36,411.37,499.47
555196548,416.43,485.23,412,495.76
555198540,420.37,479.42,415.05,489.48
555200546,418.68,482.83,404.94,500.5
555202546,415.96,483.43,410.48,500.79
555204522,420.25,481.95,410.26,487.38
555206552,415.22,484.4,418.3,495.75
555208556,417.69,477.93,422.63,499.78
555210560,428.05,481.99,414.45,496.85
555212546,420.55,486.63,418.22,499.13
555214543,424,486.38,414.76,497.79
555216546,423.73,480.37,411.83,497.39
555218554,416.41,477.66,410.42,491.79
555220553,422.41,479.76,413.72,491.35
555222555,415.03,490.24,416.8,503.99
555224554,415.2,479.93,416.11,498.98
555226552,420.6,477.96,414.08,501.41
555228556,413.35,477.56,419.17,502.57
555230557,423.03,480.54,413.01,490.72
555232555,419.57,474.58,413.67,496.22
555234554,416.32,488.59,414.26,499.86
555236555,420.28,484.11,414.06,490.8
555238554,414.74,486.74,409.37,497.4
555240555,418.62,486.32,414.02,501.87
555242552,419.45,481.39,410.97,493.67
555244552,422.12,482.95,413.67,500.78
555246562,431.78,471.55,412.1,496.43
555248645,429.98,472.08,407.82,485.16
555250561,437.02,465.09,421.49,466.39
555252565,443.59,464.01,425.68,468.47
555254554,439.04,454.15,426.16,452.02
555256554,444.97,443.69,418.92,450.93
555258532,443.5,447.23,422.47,440.8
555260563,442.27,436.34,420.95,439.32
555262553,437.12,438.59,417.3,443.96
555264551,435.76,426.96,415.99,434.83
555266548,442.74,424.92,417.24,443.57
555268567,444.12,423.22,424.57,436.78
555270568,441.91,424.85,418.87,438.41
555272566,438.6,424.69,424.35,438.04
555274562,442.9,423.61,418.25,440.47
555276564,447.23,422.29,416.24,431.24
555278563,440,431.04,414.72,433.54
555280564,442.8,418.77,415.67,432.68
555282565,438.15,424.34,418.61,440.05
555284564,440.63,421.11,414.9,433.02
555286565,440.29,424.71,416.15,433.99
555288571,442.44,425.47,414.5,433.66
555290566,443.75,424.95,416.41,435.31
555292564,443.89,425.33,418.34,436.23
555294561,447.81,421.33,419.2,439.3
555296565,432.76,430.44,423.88,441.63
555298564,437.25,422.87,424.01,440.26
555300569,445,422.29,428.16,442.7
555302565,442.62,419.95,427.97,434.99
555304565,440.16,423.04,422.95,434.95
555306567,439.65,429.31,428.32,436.26
555308559,439.9,421.87,431.25,446.53
555310591,440.65,420.37,426.26,440.07
555312575,437.55,425.72,425.88,427.17
555314557,441.45,424.52,430.69,444.15
555316555,442.18,426.23,437.25,430.61
555318580,438.62,426.71,434.86,432.22
555320579,440.59,425.2,434.86,431.49
555322576,440.46,429.4,438.63,435.82
555324576,441.68,422.88,435.39,422.43
555326574,442.92,427.39,436.92,437.34
555328576,442.87,430.92,440.62,442.08
555330557,433.96,431.49,436.36,442.97
555332630,441.5,427.06,436.58,439.62
555334575,434.7,433.64,441.06,432.76
555336577,440.56,429.57,440.18,442.2
555338574,441.58,437.31,436.27,442.52
555340572,440.6,433.21,440.61,443.05
555342552,436.94,425.73,439.53,435.52
555344566,438.8,431.71,443.79,440.66
555346574,437.58,438.1,441.54,437.99
555348572,442.29,429.96,443.15,439.83
555350572,438.79,424.34,438.69,431.79
555352577,437.13,432.88,439.9,435.95
555354573,443.96,430,439.6,445.79
555356586,443.47,426.72,444.35,447.66
555358583,443.99,432.3,438.28,438.69
555360589,440,432.14,438.24,439.33
555362585,435.76,431.01,438.24,442.24
555364583,438.75,430.2,442.66,446.45
555366583,437.22,437.53,443.82,439.22
555368585,431.16,436.67,442.03,436.68
555370589,433.77,432.01,444.87,439.74
555372592,435.55,432.72,444.2,434.32
555374583,437.05,432.51,438.38,436.74
555376588,445.12,427.9,443.17,440.46
555378585,439.48,431.97,438.24,438.7
555380585,435.37,434.89,443.05,438.9
555382585,439.43,428,440.75,439.95
555384583,441.12,434.8,439.74,443.18
555386581,444.97,434.31,434.96,438.64
555388585,447.16,438.47,437.99,439.4
555390560,439.71,432.96,441.16,444.29
555392559,444.93,436.74,438.87,436.88
555394594,436.81,431.64,436.75,441.26
555396586,437.29,439.57,442.87,442.77
555398584,443.41,432.74,437.26,439.09
555400585,447.39,430.93,447.06,444.18
555402594,443.18,424.82,438.95,439.03
555404594,445.43,436.66,437.19,437.78
555406596,449.1,431.76,431.17,447.36
555408587,441.44,432,433.99,449.2
555410610,444.88,429.19,438.36,443.14
